user_id,dependents,income_annum,loan_amount,loan_term,cibil_score,self_employed,education,loan_status
41,1,7800000,18100000,2,712,0.0,1.0,1.0
42,2,9100000,24900000,16,822,0.0,0.0,1.0
43,3,1400000,3400000,6,540,0.0,1.0,0.0
44,2,800000,2300000,12,342,1.0,1.0,0.0
45,5,6500000,13400000,18,787,0.0,1.0,1.0
46,4,8000000,27800000,16,331,0.0,1.0,0.0
47,3,4200000,14600000,6,679,1.0,0.0,1.0
48,1,4900000,19100000,14,677,1.0,1.0,1.0
49,3,5500000,20500000,12,634,0.0,0.0,1.0
50,1,9500000,19100000,16,662,1.0,0.0,1.0
51,4,7300000,25400000,16,502,0.0,1.0,0.0
52,2,8700000,24700000,10,435,0.0,1.0,0.0
53,5,3800000,7600000,4,689,0.0,0.0,1.0
54,1,8400000,23000000,12,657,1.0,0.0,1.0
55,2,5100000,19700000,20,590,1.0,1.0,1.0
56,5,6700000,24500000,12,818,0.0,0.0,1.0
57,2,4300000,10600000,18,431,0.0,0.0,0.0
58,5,9300000,30500000,18,841,1.0,1.0,1.0
59,1,7400000,18400000,20,421,0.0,1.0,0.0
60,4,5500000,18200000,16,797,1.0,0.0,1.0
61,2,8500000,18900000,18,478,0.0,0.0,0.0
62,3,9600000,30500000,18,669,1.0,0.0,1.0
63,5,8800000,28900000,6,365,1.0,0.0,0.0
64,3,3300000,7500000,20,586,1.0,0.0,1.0
65,4,3900000,12300000,18,784,1.0,1.0,1.0
66,1,4100000,10300000,12,364,0.0,1.0,0.0
67,3,8300000,29100000,10,715,0.0,0.0,1.0
68,0,2700000,10100000,20,693,1.0,0.0,0.0
69,4,5600000,12400000,4,777,0.0,1.0,1.0
70,0,1900000,5000000,12,312,0.0,1.0,0.0
71,4,500000,1500000,20,340,1.0,0.0,0.0
72,5,5300000,18600000,4,386,1.0,1.0,1.0
73,5,7000000,18300000,4,418,0.0,0.0,0.0
74,3,5800000,16700000,16,735,1.0,0.0,1.0
75,2,2600000,8400000,6,494,0.0,0.0,0.0
76,2,1900000,6500000,18,671,0.0,0.0,1.0
77,4,5700000,14800000,16,697,0.0,1.0,1.0
78,0,9000000,33500000,8,801,0.0,1.0,1.0
79,2,8500000,29400000,12,576,0.0,0.0,1.0
80,0,700000,1400000,14,639,0.0,0.0,1.0
81,4,3500000,8900000,4,470,0.0,1.0,0.0
82,0,8800000,31200000,4,826,0.0,0.0,1.0
83,2,9900000,21200000,16,363,1.0,0.0,0.0
84,3,3600000,8600000,20,613,0.0,1.0,1.0
85,3,3000000,8200000,16,713,1.0,0.0,1.0
86,2,6800000,21200000,16,439,0.0,1.0,0.0
87,5,1100000,3800000,18,387,1.0,0.0,0.0
88,1,8700000,28300000,8,402,1.0,0.0,0.0
89,4,2000000,8000000,6,837,1.0,1.0,1.0
90,2,9800000,37600000,10,641,0.0,0.0,1.0
91,4,5700000,21100000,18,489,0.0,1.0,0.0
92,4,8800000,20700000,18,540,0.0,1.0,0.0
93,4,3800000,8900000,4,844,0.0,1.0,1.0
94,1,1700000,6400000,10,452,0.0,1.0,0.0
95,2,1000000,2000000,10,366,0.0,1.0,0.0
96,5,300000,1100000,2,300,0.0,1.0,1.0
97,2,6600000,15000000,18,470,1.0,1.0,0.0
98,2,8700000,25000000,20,861,0.0,0.0,1.0
99,4,9400000,29400000,12,562,0.0,1.0,1.0
100,0,4400000,10800000,14,463,0.0,1.0,0.0
101,4,400000,900000,12,478,0.0,0.0,0.0
102,2,300000,1100000,2,702,1.0,0.0,1.0
103,2,4300000,12900000,20,618,1.0,0.0,1.0
104,4,1600000,4500000,12,633,0.0,1.0,1.0
105,5,6200000,23600000,10,331,1.0,0.0,0.0
106,3,4200000,9700000,16,841,1.0,0.0,1.0
107,4,9000000,18100000,12,764,1.0,0.0,1.0
108,0,2700000,10600000,6,591,0.0,1.0,1.0
109,1,9700000,35900000,2,719,1.0,1.0,1.0
110,2,3300000,6800000,14,317,0.0,1.0,0.0
111,0,300000,1100000,8,778,0.0,0.0,1.0
112,3,7400000,18200000,14,302,1.0,1.0,0.0
113,5,7100000,19700000,8,502,0.0,0.0,0.0
114,5,7300000,22100000,18,879,1.0,0.0,1.0
115,1,8400000,23400000,14,437,0.0,0.0,0.0
116,0,3300000,10800000,12,797,1.0,0.0,1.0
117,4,5800000,23200000,18,456,1.0,0.0,0.0
118,0,600000,1600000,6,647,0.0,0.0,1.0
119,0,7200000,15800000,12,379,0.0,0.0,0.0
120,1,9100000,32900000,2,717,1.0,0.0,1.0
121,5,900000,2300000,16,545,0.0,1.0,0.0
122,2,800000,3200000,8,317,0.0,1.0,0.0
123,1,8500000,32900000,10,570,0.0,0.0,1.0
124,0,9000000,18700000,18,865,1.0,0.0,1.0
125,3,7000000,19500000,14,719,0.0,1.0,1.0
126,3,200000,600000,16,821,0.0,1.0,1.0
127,4,400000,800000,10,859,1.0,0.0,1.0
128,3,5100000,18200000,10,395,0.0,0.0,0.0
129,2,700000,2600000,12,429,1.0,0.0,0.0
130,3,400000,1200000,12,861,0.0,1.0,1.0
131,0,9500000,20800000,14,565,1.0,0.0,1.0
132,5,8800000,22600000,10,357,0.0,1.0,0.0
133,3,1800000,3600000,18,465,1.0,0.0,0.0
134,4,6800000,13900000,8,479,1.0,0.0,0.0
135,3,1500000,5500000,16,717,0.0,0.0,1.0
136,3,1600000,5500000,12,425,0.0,1.0,0.0
137,2,4600000,16700000,2,786,0.0,0.0,1.0
138,5,2200000,6700000,6,382,1.0,0.0,0.0
139,3,2900000,8500000,12,564,1.0,0.0,1.0
140,0,200000,700000,8,501,0.0,1.0,0.0
141,2,2500000,9400000,10,727,1.0,0.0,1.0
142,4,3600000,7500000,6,894,0.0,0.0,1.0
143,0,5500000,16700000,18,829,1.0,1.0,1.0
144,4,6600000,17400000,20,506,0.0,0.0,0.0
145,2,8600000,32100000,6,802,1.0,1.0,1.0
146,5,600000,1500000,14,543,0.0,0.0,0.0
147,3,1400000,3200000,20,772,1.0,1.0,1.0
148,3,4000000,11100000,12,572,0.0,1.0,1.0
149,0,4900000,11900000,16,709,1.0,0.0,1.0
150,5,2000000,6200000,18,402,0.0,1.0,0.0
151,1,5200000,19300000,8,481,1.0,0.0,0.0
152,5,8900000,28800000,6,772,1.0,1.0,1.0
153,1,6500000,20600000,2,306,1.0,1.0,1.0
154,2,1300000,4500000,6,415,0.0,0.0,0.0
155,3,9400000,35000000,16,548,0.0,0.0,0.0
156,5,5000000,11200000,8,701,0.0,0.0,1.0
157,2,3000000,7700000,12,890,0.0,1.0,1.0
158,5,9900000,33300000,6,364,1.0,0.0,0.0
159,5,700000,1300000,20,704,1.0,1.0,1.0
160,3,4000000,10600000,10,318,1.0,1.0,0.0
161,5,3100000,9600000,2,761,0.0,0.0,1.0
162,4,4500000,15100000,6,693,0.0,0.0,1.0
163,3,9700000,20600000,16,524,0.0,0.0,0.0
164,2,2000000,5300000,10,681,1.0,0.0,1.0
165,2,8100000,22300000,18,737,1.0,1.0,1.0
166,0,5700000,15900000,16,638,0.0,0.0,1.0
167,4,5800000,12800000,2,656,0.0,0.0,1.0
168,1,1800000,6500000,6,540,0.0,1.0,0.0
169,4,9100000,35200000,6,341,1.0,0.0,0.0
170,0,4800000,17500000,2,371,1.0,0.0,1.0
171,3,3800000,10500000,12,886,1.0,0.0,1.0
172,0,1900000,4100000,18,801,0.0,0.0,1.0
173,3,3600000,9500000,16,748,1.0,0.0,1.0
174,2,7400000,28200000,8,376,1.0,0.0,0.0
175,4,6600000,14300000,8,371,1.0,0.0,0.0
176,2,1800000,5300000,6,826,0.0,1.0,1.0
177,4,9200000,27200000,12,873,0.0,0.0,1.0
178,5,2400000,8600000,8,309,1.0,0.0,0.0
179,4,5600000,13300000,20,869,0.0,0.0,1.0
180,5,3800000,13900000,12,534,0.0,1.0,0.0
181,3,4500000,17900000,6,787,1.0,0.0,1.0
182,0,900000,2200000,16,566,1.0,1.0,1.0
183,0,2800000,9900000,8,742,0.0,0.0,1.0
184,2,7500000,23100000,4,824,0.0,0.0,1.0
185,4,1400000,3100000,14,575,0.0,1.0,1.0
186,2,3800000,10900000,10,766,1.0,1.0,1.0
187,1,1700000,5000000,10,888,1.0,0.0,1.0
188,3,9000000,30400000,6,638,1.0,1.0,1.0
189,5,7300000,23300000,6,622,1.0,0.0,1.0
190,1,7400000,19800000,18,458,0.0,0.0,0.0
191,1,9000000,28200000,16,327,0.0,0.0,0.0
192,0,3000000,6500000,2,612,0.0,0.0,1.0
193,1,800000,2900000,8,682,0.0,1.0,1.0
194,2,4800000,13200000,2,583,0.0,1.0,1.0
195,5,6400000,18300000,8,697,0.0,0.0,1.0
196,3,9200000,27100000,12,306,0.0,1.0,0.0
197,4,400000,1500000,2,669,1.0,0.0,1.0
198,2,2800000,6000000,18,816,0.0,0.0,1.0
199,4,8500000,28900000,20,455,1.0,0.0,0.0
200,3,4700000,16400000,10,318,1.0,1.0,0.0
201,4,9800000,21200000,20,355,1.0,0.0,0.0
202,2,3800000,8900000,16,389,1.0,0.0,0.0
203,2,500000,1500000,2,888,0.0,1.0,1.0
204,2,6900000,15600000,6,352,1.0,1.0,0.0
205,4,9600000,30100000,12,870,1.0,0.0,1.0
206,3,2900000,6500000,18,827,0.0,0.0,1.0
207,2,9800000,20900000,12,768,0.0,1.0,1.0
208,0,7100000,15400000,18,707,0.0,1.0,1.0
209,1,7700000,19100000,10,355,1.0,0.0,0.0
210,3,1400000,3300000,2,652,0.0,1.0,1.0
211,3,7800000,15900000,2,665,0.0,1.0,1.0
212,5,1700000,6000000,18,420,1.0,0.0,0.0
213,2,8500000,32700000,18,471,0.0,0.0,0.0
214,5,1900000,7500000,20,715,0.0,0.0,1.0
215,2,6700000,15200000,10,689,1.0,0.0,1.0
216,3,6900000,16400000,4,787,1.0,1.0,1.0
217,2,2600000,7800000,4,819,0.0,1.0,1.0
218,4,9600000,21100000,6,809,1.0,1.0,1.0
219,1,6800000,17000000,2,744,1.0,0.0,1.0
220,0,3200000,11300000,6,484,0.0,0.0,0.0
221,4,2900000,10400000,6,673,0.0,0.0,1.0
222,3,7900000,21200000,18,695,1.0,1.0,1.0
223,4,3900000,12400000,12,473,1.0,0.0,0.0
224,4,4600000,11000000,2,491,1.0,1.0,0.0
225,3,700000,1700000,8,733,1.0,0.0,1.0
226,0,5200000,15600000,20,434,0.0,0.0,0.0
227,3,5900000,20600000,10,777,1.0,0.0,1.0
228,4,7200000,19100000,4,774,0.0,1.0,1.0
229,1,8700000,27000000,10,717,1.0,0.0,1.0
230,3,1100000,3500000,12,503,1.0,0.0,0.0
231,1,4000000,10900000,14,598,1.0,1.0,1.0
232,2,9800000,32400000,2,543,0.0,1.0,1.0
233,0,2700000,6800000,20,796,1.0,0.0,1.0
234,3,8800000,34600000,8,386,1.0,0.0,0.0
235,5,3300000,7800000,16,632,1.0,0.0,1.0
236,1,6900000,23400000,4,481,1.0,1.0,1.0
237,3,900000,3500000,4,770,1.0,1.0,0.0
238,3,4100000,15500000,6,667,1.0,1.0,1.0
239,3,4700000,17500000,8,585,1.0,0.0,1.0
240,5,3400000,11600000,16,479,1.0,1.0,0.0
241,2,9600000,22500000,18,851,0.0,1.0,1.0
242,3,7000000,16200000,6,378,1.0,0.0,0.0
243,5,5700000,12900000,18,807,0.0,1.0,1.0
244,1,8200000,32400000,18,831,1.0,0.0,1.0
245,2,2100000,5100000,12,674,0.0,0.0,1.0
246,1,8000000,28100000,18,725,1.0,0.0,1.0
247,2,8000000,29300000,4,600,0.0,0.0,1.0
248,0,9400000,27000000,10,536,1.0,0.0,0.0
249,0,8400000,20600000,10,477,0.0,1.0,0.0
250,1,1900000,5000000,6,560,1.0,0.0,1.0
251,0,4200000,16400000,20,539,1.0,0.0,0.0
252,5,2600000,9100000,8,852,0.0,1.0,1.0
253,3,3700000,8500000,20,853,0.0,0.0,1.0
254,0,8800000,30900000,12,729,0.0,1.0,1.0
255,2,2100000,4700000,2,546,0.0,0.0,0.0
256,3,900000,2400000,10,489,1.0,1.0,0.0
257,3,9800000,35400000,6,869,1.0,1.0,1.0
258,2,8000000,20000000,2,502,0.0,0.0,0.0
259,0,9800000,38800000,8,652,0.0,1.0,1.0
260,0,300000,1100000,8,789,1.0,0.0,1.0
261,4,2700000,8100000,4,325,0.0,0.0,1.0
262,3,7400000,19600000,2,716,1.0,1.0,1.0
263,3,9200000,34300000,18,523,0.0,1.0,0.0
264,5,9500000,22200000,20,352,0.0,0.0,0.0
265,5,3800000,14400000,2,345,1.0,1.0,1.0
266,0,8300000,19400000,18,649,0.0,1.0,1.0
267,2,2800000,7400000,18,666,1.0,1.0,1.0
268,0,8600000,20900000,10,813,0.0,1.0,1.0
269,0,5400000,16800000,10,599,0.0,0.0,1.0
270,5,4200000,9400000,6,678,1.0,1.0,1.0
271,5,5200000,12200000,20,513,0.0,0.0,0.0
272,5,9400000,27900000,4,870,0.0,1.0,1.0
273,3,8800000,20400000,8,483,0.0,1.0,0.0
274,1,5900000,16700000,16,308,1.0,1.0,0.0
275,3,1700000,4900000,16,591,1.0,1.0,1.0
276,1,7000000,23000000,10,886,0.0,0.0,1.0
277,4,1700000,4000000,6,829,0.0,0.0,1.0
278,0,1500000,4900000,12,651,0.0,0.0,1.0
279,4,2000000,4700000,18,733,0.0,0.0,1.0
280,5,3900000,15500000,12,433,1.0,1.0,0.0
281,1,900000,3600000,14,713,1.0,1.0,1.0
282,1,6900000,22500000,18,403,0.0,1.0,0.0
283,0,2800000,7800000,10,405,1.0,1.0,0.0
284,3,6800000,19900000,10,516,1.0,1.0,0.0
285,4,600000,1800000,8,417,1.0,0.0,0.0
286,1,4700000,14000000,6,468,0.0,0.0,0.0
287,5,3000000,11800000,10,672,1.0,1.0,1.0
288,5,4000000,13900000,6,530,0.0,0.0,0.0
289,1,3100000,11300000,14,824,1.0,0.0,1.0
290,1,7700000,25500000,12,549,1.0,0.0,0.0
291,5,4300000,9300000,10,450,1.0,0.0,0.0
292,1,5800000,19500000,20,431,1.0,1.0,0.0
293,3,3600000,10700000,16,312,1.0,1.0,0.0
294,0,2900000,7600000,8,320,1.0,0.0,0.0
295,0,8800000,20200000,4,433,0.0,1.0,0.0
296,1,300000,1000000,10,431,1.0,0.0,0.0
297,5,8600000,28900000,8,516,1.0,0.0,0.0
298,2,3500000,12000000,14,476,1.0,0.0,0.0
299,5,800000,2600000,6,560,0.0,1.0,1.0
300,2,8000000,27100000,12,674,0.0,1.0,1.0
301,0,9900000,38200000,6,573,1.0,0.0,1.0
302,2,3300000,6600000,6,331,0.0,0.0,0.0
303,4,2000000,6700000,12,633,1.0,1.0,1.0
304,3,4900000,12900000,18,877,0.0,0.0,1.0
305,5,9200000,23600000,12,656,1.0,0.0,1.0
306,0,7500000,18200000,6,782,0.0,0.0,1.0
307,5,9000000,29300000,4,531,0.0,0.0,1.0
308,3,1400000,4100000,8,455,0.0,0.0,0.0
309,3,9600000,19900000,14,452,0.0,1.0,0.0
310,2,8400000,33200000,14,474,0.0,1.0,0.0
311,3,6400000,24400000,4,483,0.0,0.0,1.0
312,4,5900000,16800000,8,481,0.0,1.0,0.0
313,2,2200000,5100000,20,859,1.0,1.0,1.0
314,4,5600000,14100000,14,696,1.0,1.0,1.0
315,4,9800000,28700000,6,778,0.0,0.0,1.0
316,4,4400000,14600000,4,499,0.0,1.0,1.0
317,2,2400000,4900000,4,888,1.0,0.0,1.0
318,1,4400000,10800000,12,674,0.0,1.0,1.0
319,4,3700000,13200000,4,802,0.0,1.0,1.0
320,4,2300000,7800000,8,540,1.0,0.0,0.0
321,4,5900000,19600000,8,726,1.0,1.0,1.0
322,4,6400000,23500000,2,485,1.0,0.0,1.0
323,4,4900000,17100000,6,612,1.0,1.0,1.0
324,3,9500000,24200000,8,879,1.0,0.0,1.0
325,2,5700000,16400000,12,708,0.0,0.0,1.0
326,2,2700000,5700000,8,850,1.0,0.0,1.0
327,2,3900000,11300000,12,516,1.0,0.0,0.0
328,0,7800000,28800000,12,465,0.0,0.0,0.0
329,0,1100000,3200000,20,716,0.0,1.0,1.0
330,4,200000,600000,10,404,0.0,0.0,0.0
331,0,4700000,10600000,20,512,1.0,0.0,0.0
332,3,8200000,20600000,10,441,1.0,0.0,0.0
333,2,4600000,18400000,2,555,1.0,0.0,1.0
334,5,1800000,7000000,18,466,0.0,0.0,0.0
335,3,3200000,8600000,2,427,1.0,1.0,0.0
336,4,5500000,20000000,14,593,1.0,0.0,1.0
337,3,7900000,18300000,10,731,0.0,1.0,1.0
338,1,4000000,10100000,16,451,1.0,1.0,0.0
339,3,6800000,16900000,18,628,1.0,0.0,1.0
340,1,2700000,9400000,18,704,0.0,0.0,1.0
341,2,6800000,23500000,12,341,0.0,0.0,0.0
342,5,8600000,21000000,8,465,0.0,1.0,0.0
343,4,8000000,30100000,4,431,0.0,1.0,1.0
344,1,3700000,12600000,10,424,1.0,1.0,0.0
345,0,2600000,5100000,14,678,0.0,1.0,1.0
346,4,4200000,16800000,6,381,0.0,1.0,0.0
347,5,8000000,28000000,10,449,1.0,1.0,0.0
348,1,7100000,23500000,12,768,0.0,0.0,1.0
349,0,2000000,7000000,6,666,0.0,0.0,0.0
350,4,5800000,13300000,14,742,1.0,0.0,1.0
351,3,6700000,15800000,4,445,1.0,0.0,0.0
352,2,7300000,28700000,14,634,0.0,1.0,1.0
353,4,3300000,9700000,14,782,0.0,0.0,1.0
354,0,3000000,7000000,10,781,0.0,1.0,1.0
355,4,7900000,17200000,14,318,0.0,0.0,0.0
356,5,7600000,24100000,18,721,0.0,0.0,1.0
357,5,3700000,9800000,4,563,0.0,0.0,1.0
358,2,8400000,26300000,4,419,0.0,0.0,1.0
359,0,8200000,20800000,14,372,1.0,1.0,0.0
360,0,2900000,9500000,18,885,0.0,0.0,1.0
361,1,9900000,38400000,12,596,1.0,0.0,1.0
362,0,4400000,14100000,2,349,0.0,1.0,1.0
363,1,9000000,32200000,16,468,1.0,0.0,0.0
364,3,6800000,26900000,16,818,1.0,0.0,1.0
365,2,8700000,28000000,12,543,0.0,0.0,0.0
366,3,9400000,21900000,16,685,0.0,1.0,1.0
367,3,6000000,12500000,18,851,1.0,0.0,1.0
368,1,9400000,29800000,10,377,1.0,0.0,0.0
369,0,1000000,4000000,10,620,1.0,0.0,1.0
370,3,900000,2300000,20,611,1.0,1.0,1.0
371,4,2100000,7700000,4,767,0.0,0.0,1.0
372,5,1100000,3200000,20,592,1.0,1.0,1.0
373,0,600000,2300000,4,319,1.0,1.0,1.0
374,4,9200000,25500000,10,900,1.0,0.0,1.0
375,2,3600000,12800000,18,814,1.0,0.0,1.0
376,5,1300000,5000000,10,755,1.0,0.0,1.0
377,5,7700000,16800000,20,584,1.0,1.0,1.0
378,4,9500000,23500000,14,380,1.0,1.0,0.0
379,2,5000000,17600000,20,465,1.0,0.0,0.0
380,0,500000,1800000,2,531,0.0,0.0,1.0
381,1,8300000,32100000,16,814,1.0,1.0,1.0
382,0,5300000,17900000,6,678,0.0,1.0,1.0
383,2,9300000,29000000,12,655,1.0,0.0,1.0
384,3,2300000,7400000,2,682,0.0,0.0,1.0
385,1,400000,1300000,6,695,0.0,0.0,1.0
386,3,3200000,10800000,4,833,0.0,0.0,1.0
387,5,9400000,35300000,16,302,1.0,0.0,0.0
388,1,2300000,6600000,2,357,0.0,1.0,0.0
389,5,4300000,14500000,12,302,0.0,0.0,0.0
390,0,6200000,22400000,18,873,1.0,1.0,1.0
391,0,7200000,19800000,12,658,1.0,0.0,1.0
392,5,2400000,8700000,18,877,1.0,1.0,1.0
393,3,2900000,6300000,8,648,0.0,0.0,1.0
394,1,1400000,5200000,12,730,0.0,1.0,1.0
395,4,2200000,8200000,14,737,1.0,0.0,1.0
396,2,800000,3200000,10,584,1.0,1.0,0.0
397,0,600000,1700000,2,621,0.0,1.0,1.0
398,4,700000,2700000,16,583,1.0,1.0,1.0
399,2,8400000,25900000,16,621,0.0,0.0,1.0
400,2,7100000,21500000,16,610,0.0,0.0,1.0
401,4,5400000,15700000,18,452,0.0,1.0,0.0
402,5,3700000,7300000,18,339,0.0,1.0,0.0
403,3,5200000,15200000,16,650,1.0,1.0,1.0
404,4,200000,700000,10,672,1.0,0.0,1.0
405,3,500000,1000000,20,501,0.0,1.0,0.0
406,2,1800000,5700000,4,809,1.0,0.0,1.0
407,5,9200000,29400000,8,318,1.0,1.0,0.0
408,4,900000,3300000,10,649,0.0,0.0,1.0
409,3,7500000,28300000,12,367,0.0,0.0,0.0
410,5,3000000,11800000,6,847,0.0,0.0,1.0
411,5,7100000,18900000,12,360,0.0,1.0,0.0
412,1,3500000,7200000,2,865,1.0,1.0,1.0
413,4,4900000,18800000,16,880,0.0,0.0,1.0
414,1,4100000,8400000,20,608,0.0,1.0,1.0
415,0,800000,2100000,6,760,1.0,1.0,1.0
416,3,1700000,4600000,12,385,1.0,1.0,0.0
417,0,6100000,23300000,12,478,1.0,1.0,0.0
418,1,2100000,7700000,16,327,1.0,1.0,0.0
419,0,3100000,9300000,6,663,0.0,1.0,1.0
420,2,1700000,3500000,20,693,1.0,0.0,1.0
421,3,1700000,5400000,6,710,0.0,1.0,1.0
422,4,4000000,14500000,6,711,1.0,0.0,1.0
423,5,5600000,18400000,8,386,0.0,1.0,0.0
424,4,3900000,11900000,10,855,1.0,1.0,1.0
425,4,6100000,15300000,14,573,1.0,1.0,1.0
426,0,1100000,2800000,18,431,1.0,1.0,0.0
427,2,5500000,14800000,8,364,0.0,1.0,0.0
428,4,1100000,3600000,14,711,1.0,1.0,1.0
429,4,400000,900000,20,771,1.0,0.0,1.0
430,3,9200000,36400000,18,669,0.0,1.0,1.0
431,4,9300000,27500000,18,338,1.0,0.0,0.0
432,1,1100000,3500000,8,562,0.0,1.0,1.0
433,3,5600000,18700000,2,769,0.0,0.0,1.0
434,0,6300000,21500000,8,629,1.0,1.0,1.0
435,3,8800000,18100000,6,699,0.0,1.0,1.0
436,0,8400000,20800000,20,590,0.0,0.0,1.0
437,3,1600000,5700000,4,707,1.0,1.0,1.0
438,3,4500000,11400000,8,391,1.0,0.0,0.0
439,5,6500000,18500000,4,891,0.0,0.0,1.0
440,3,9500000,20600000,2,731,1.0,1.0,1.0
441,3,4700000,16700000,12,775,0.0,0.0,1.0
442,5,9600000,32400000,2,897,1.0,1.0,1.0
443,5,8000000,26700000,20,794,0.0,1.0,1.0
444,2,7700000,16700000,6,555,0.0,1.0,1.0
445,1,3600000,10300000,12,536,1.0,0.0,0.0
446,2,700000,1700000,10,839,0.0,0.0,1.0
447,0,1400000,5100000,6,890,1.0,1.0,1.0
448,1,8600000,27900000,20,415,1.0,1.0,0.0
449,4,4700000,15700000,4,868,0.0,1.0,1.0
450,3,2900000,5800000,12,353,1.0,1.0,0.0
451,4,9000000,29000000,16,590,0.0,0.0,1.0
452,5,500000,900000,18,618,1.0,1.0,1.0
453,2,700000,1700000,10,539,1.0,0.0,0.0
454,0,6800000,27000000,4,429,0.0,1.0,1.0
455,2,1800000,4700000,8,792,0.0,1.0,1.0
456,0,6000000,12400000,2,608,0.0,0.0,1.0
457,4,5400000,21500000,14,555,1.0,1.0,1.0
458,5,8400000,17500000,12,620,1.0,1.0,1.0
459,0,7400000,20900000,6,635,0.0,1.0,1.0
460,2,3200000,12500000,10,457,0.0,1.0,0.0
461,1,5400000,21400000,8,350,1.0,1.0,0.0
462,5,1000000,2500000,14,885,1.0,1.0,1.0
463,0,4400000,14700000,16,638,0.0,1.0,1.0
464,1,3800000,10500000,12,710,1.0,1.0,1.0
465,3,6100000,20900000,18,470,1.0,0.0,0.0
466,5,5500000,17300000,16,874,1.0,0.0,1.0
467,5,500000,1800000,18,411,1.0,0.0,0.0
468,0,300000,1100000,2,482,1.0,0.0,1.0
469,1,6200000,16900000,2,396,1.0,1.0,0.0
470,0,300000,900000,20,436,0.0,0.0,0.0
471,0,6900000,22100000,20,303,1.0,0.0,0.0
472,4,3700000,11400000,12,728,0.0,1.0,1.0
473,3,8800000,28600000,10,775,1.0,0.0,1.0
474,5,8200000,23500000,12,402,1.0,1.0,0.0
475,1,9200000,31500000,18,698,1.0,0.0,1.0
476,0,2400000,7800000,14,665,0.0,0.0,1.0
477,4,4100000,13500000,18,490,0.0,0.0,0.0
478,1,8000000,31900000,12,504,0.0,1.0,0.0
479,3,3600000,8600000,8,790,1.0,0.0,1.0
480,1,700000,2700000,20,669,1.0,0.0,1.0
481,4,8300000,30700000,6,381,0.0,0.0,0.0
482,0,5300000,15000000,2,900,1.0,1.0,1.0
483,4,8300000,24900000,16,506,0.0,1.0,0.0
484,3,2500000,8800000,12,538,1.0,0.0,0.0
485,3,5400000,14400000,8,677,1.0,1.0,1.0
486,4,1600000,4900000,8,685,0.0,1.0,1.0
487,2,2400000,6200000,12,860,0.0,0.0,1.0
488,5,6300000,14800000,6,608,0.0,0.0,1.0
489,4,2500000,5300000,10,540,1.0,1.0,0.0
490,0,7500000,16800000,16,492,1.0,1.0,0.0
491,3,2900000,8500000,14,834,0.0,0.0,1.0
492,3,1000000,3500000,16,834,1.0,1.0,1.0
493,2,8600000,28800000,8,890,1.0,1.0,1.0
494,1,300000,1100000,12,443,0.0,0.0,0.0
495,5,2300000,5700000,18,329,0.0,0.0,0.0
496,2,2400000,5400000,12,739,1.0,0.0,1.0
497,5,9800000,30300000,6,867,1.0,1.0,1.0
498,2,8100000,24800000,6,307,0.0,0.0,0.0
499,3,6700000,15500000,18,492,0.0,1.0,0.0
